Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Year,Primary Breach Type,Business Associate Present,has_narrative,Primary Vector,vec: Ransomware,vec: Phishing / email compromise,vec: Other hacking / IT intrusion,vec: Insider snooping / misuse,vec: Stolen device / burglary,vec: Lost device / records,vec: Improper disposal,vec: Misdirected / inadvertent disclosure,rem: New/updated safeguards,rem: Staff retrained,rem: Credit monitoring offered,rem: Corrective action plan,rem: OCR technical assistance,rem: Discipline / termination,rem: Encryption implemented,rem: Policies revised
"Preferred Hospital Leasing Muleshoe, Inc d/b/a Muleshoe Area Medical Center",TX,Healthcare Provider,1212.0,2022,Hacking/IT Incident,Yes,True,Ransomware,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Preferred Hospital Leasing Junction, Inc d/b/a Kimble Hospital",TX,Healthcare Provider,1041.0,2022,Hacking/IT Incident,Yes,True,Ransomware,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cheyenne Regional Medical Center,WY,Healthcare Provider,1652.0,2022,Unauthorized Access/Disclosure,No,True,Insider snooping / misuse,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False
"Preferred Hospital Leasing Van Horn, Inc d/b/a Culberson Hospital",TX,Healthcare Provider,689.0,2022,Hacking/IT Incident,Yes,True,Ransomware,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Preferred Hospital Leasing Coleman Inc. d/b/a Coleman County Medical Center,TX,Healthcare Provider,1159.0,2022,Hacking/IT Incident,Yes,True,Ransomware,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"WellDyneRx, LLC",FL,Business Associate,49964.0,2022,Hacking/IT Incident,Yes,True,Phishing / email compromise,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False
"Dr. Scott Heinlein Andrew, DPM d/b/a Affiliated Foot & Ankle Center",OH,Healthcare Provider,4692.0,2022,Hacking/IT Incident,No,True,Other / unspecified,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
"Carolina Behavioral Health Alliance, LLC",NC,Business Associate,130922.0,2022,Hacking/IT Incident,Yes,True,Ransomware,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
CHRISTUS Spohn Health System Corporation,TX,Healthcare Provider,842874.0,2022,Hacking/IT Incident,No,True,Ransomware,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
"Professional Finance Company, Inc.",CO,Business Associate,1918941.0,2022,Hacking/IT Incident,Yes,True,Ransomware,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
"Bayhealth Medical Center, Inc.",DE,Healthcare Provider,17481.0,2022,Hacking/IT Incident,Yes,True,Ransomware,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
Community of Hope D.C.,DC,Healthcare Provider,580.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False
"Highmark, Inc.",PA,Health Plan,511.0,2022,Hacking/IT Incident,Yes,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Michigan Avenue Immediate Care,IL,Healthcare Provider,144104.0,2022,Hacking/IT Incident,No,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False
"OrthoWest, PC",NE,Healthcare Provider,1369.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False
"Benefit Plan Administrators, Inc.",VA,Business Associate,628.0,2022,Hacking/IT Incident,Yes,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
"Benefit Plan Administrators, Inc.",VA,Business Associate,1145.0,2022,Hacking/IT Incident,Yes,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
