Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Year,Type of Breach,Primary Breach Type,Location of Breached Information,Business Associate Present,Status,cluster
University of Utah,UT,Healthcare Provider,5096.0,2020-04-03,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Confidio, LLC",MD,Business Associate,14016.0,2020-03-31,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
Washington University School of Medicine,MO,Healthcare Provider,14795.0,2020-03-31,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Affordacare Urgent Care Clinics,TX,Healthcare Provider,57411.0,2020-03-31,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
University of Minnesota Physicians,MN,Healthcare Provider,310666.0,2020-03-30,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Mid-Delaware Imaging,DE,Healthcare Provider,77110.0,2020-03-30,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server",No,Archived,1
"Brandywine Urology Consultants, PA",DE,Healthcare Provider,131825.0,2020-03-27,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Crossroads Technologies, Inc.",PA,Business Associate,897.0,2020-03-27,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"Tryon Medical Partners, PLLC",NC,Healthcare Provider,701.0,2020-03-27,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
Stockdale Radiology,CA,Healthcare Provider,10700.0,2020-03-27,2020,Hacking/IT Incident,Hacking/IT Incident,Desktop Computer,No,Archived,0
UHHS Samaritan Medical Center,OH,Healthcare Provider,1520.0,2020-03-26,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Archived,1
"David S Daley, DMD",AZ,Healthcare Provider,1000.0,2020-03-26,2020,Theft,Theft,Network Server,No,Archived,4
New Jersey Department of Human Services,NJ,Health Plan,2300.0,2020-03-25,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,2
VA Sierra Nevada Health Care System,NV,Healthcare Provider,702.0,2020-03-25,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
"Renew Wellness Center, PLLC",MT,Healthcare Provider,730.0,2020-03-23,2020,Theft,Theft,"Email, Other Portable Electronic Device",No,Archived,4
"FACKLER FAMILY CHIROPRACTIC, LLC",OH,Healthcare Provider,1731.0,2020-03-23,2020,Theft,Theft,Paper/Films,No,Archived,4
Health Care Service Corporation,IL,Health Plan,574.0,2020-03-23,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,2
Ambry Genetics Corporation,CA,Healthcare Provider,225370.0,2020-03-22,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
University of Utah Health,UT,Healthcare Provider,3670.0,2020-03-21,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Georgia Department of Human Services,GA,Healthcare Clearing House,500.0,2020-03-20,2020,Loss,Loss,Paper/Films,No,Archived,1
Golden Valley Health Centers,CA,Healthcare Provider,38628.0,2020-03-20,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Otis R. Bowen Center for Human Services,IN,Healthcare Provider,35804.0,2020-03-20,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Virginia Department of Behavioral Health and Developmental Services,VA,Healthcare Provider,657.0,2020-03-20,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
Hawaii Pacific Health,HI,Business Associate,836.0,2020-03-19,2020,Loss,Loss,Paper/Films,Yes,Archived,3
"NeoGenomics Laboratories, Inc.",FL,Healthcare Provider,910.0,2020-03-18,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
