Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Year,Type of Breach,Primary Breach Type,Location of Breached Information,Business Associate Present,Status,cluster
"Clearpoint Design, Inc.",MA,Business Associate,7250.0,2013-01-10,2013,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
SilverScript Insurance Company,AZ,Health Plan,852.0,2013-01-08,2013,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,2
WorkflowOne,OH,Business Associate,635.0,2013-01-08,2013,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,3
University of Nevada School of Medicine,NV,Healthcare Provider,1483.0,2013-01-08,2013,Improper Disposal,Improper Disposal,Paper/Films,No,Archived,1
"Clearpoint Design, Inc.",MA,Business Associate,4125.0,2013-01-07,2013,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"Calvin Schuster,MD",CA,Healthcare Provider,532.0,2013-01-04,2013,Theft,Theft,Desktop Computer,No,Archived,4
Group Health Incorporated,NY,Health Plan,1771.0,2013-01-02,2013,Theft,Theft,Paper/Films,No,Archived,2
St. Mark's Medical Center,TX,Healthcare Provider,2988.0,2012-12-31,2012,Hacking/IT Incident,Hacking/IT Incident,Desktop Computer,No,Archived,0
"Omnicell, Inc.",CA,Business Associate,56820.0,2012-12-31,2012,Theft,Theft,Laptop,Yes,Archived,3
"Clearpoint Design, Inc.",MA,Business Associate,4343.0,2012-12-28,2012,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
HP Enterprise Services,KY,Business Associate,1090.0,2012-12-28,2012,Theft,Theft,Laptop,Yes,Archived,3
"Sovereign Medical Group, LLC",NJ,Healthcare Provider,27800.0,2012-12-27,2012,"Hacking/IT Incident, Theft",Hacking/IT Incident,Network Server,No,Archived,0
Gibson General Hospital,IN,Healthcare Provider,28893.0,2012-12-26,2012,Theft,Theft,Laptop,No,Archived,4
Richard Switzer MD PC,MI,Healthcare Provider,4100.0,2012-12-23,2012,Other,Other,Laptop,No,Archived,1
Calif. Dept. of Health Care Services (DHCS),CA,Health Plan,2643.0,2012-12-23,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,No,Archived,2
"Center for Orthopedic Research and Education, Inc.",AZ,Healthcare Provider,35488.0,2012-12-21,2012,Theft,Theft,Paper/Films,No,Archived,4
"OHP PHSP, Inc.",NY,Business Associate,28187.0,2012-12-21,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,Yes,Archived,3
Westerville Dental Center,OH,Healthcare Provider,850.0,2012-12-20,2012,Theft,Theft,"Laptop, Network Server",No,Archived,4
Health Advantage,AR,Health Plan,2863.0,2012-12-20,2012,Other,Other,Paper/Films,No,Archived,2
Columbia University Medical Center and NewYork-Presbyterian Hospital,NY,Healthcare Provider,4929.0,2012-12-14,2012,Theft,Theft,Desktop Computer,No,Archived,4
"North Lake Tahoe Fire Protection District, Privacy Manager Breach",NV,Healthcare Provider,752.0,2012-12-13,2012,Theft,Theft,Desktop Computer,No,Archived,4
"City of Corona, Privacy Manager Breach",CA,Business Associate,958.0,2012-12-13,2012,Theft,Theft,Desktop Computer,No,Archived,4
"City of Yuma, Privacy Manager Breach",AZ,Business Associate,905.0,2012-12-13,2012,Theft,Theft,Desktop Computer,No,Archived,4
"CCS Medical, Inc.",TX,Healthcare Provider,6601.0,2012-12-10,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,"Network Server, Other",No,Archived,1
"Coastal Behavioral Healthcare, Inc.",FL,Healthcare Provider,4907.0,2012-12-07,2012,Theft,Theft,Paper/Films,No,Archived,4
Carolinas Medical Center - Randolph,NC,Healthcare Provider,5600.0,2012-12-07,2012,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
University of Virginia Medical Center,VA,Healthcare Provider,1846.0,2012-11-30,2012,Loss,Loss,Other Portable Electronic Device,No,Archived,1
Landmark Medical Center,RI,Healthcare Provider,683.0,2012-11-30,2012,Theft,Theft,Laptop,No,Archived,4
ADPI-West,CA,Business Associate,1500.0,2012-11-29,2012,"Theft, Unauthorized Access/Disclosure",Theft,Desktop Computer,Yes,Archived,3
"City of Berkeley, Privacy Manager Breach",CA,Business Associate,931.0,2012-11-29,2012,Theft,Theft,Desktop Computer,No,Archived,4
County of San Bernardino Department of Public Heatlh,CA,Healthcare Provider,1370.0,2012-11-29,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
Vidant Pungo Hospital,NC,Healthcare Provider,1100.0,2012-11-29,2012,Improper Disposal,Improper Disposal,Paper/Films,No,Archived,1
Blue Cross Blue Shield,IL,Business Associate,500.0,2012-11-29,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,Yes,Archived,3
Cuyahoga County Board of Developmental Disabilities,OH,Healthcare Provider,613.0,2012-11-29,2012,Theft,Theft,Laptop,No,Archived,4
"Advanced Data Processing, Inc.",FL,Healthcare Clearing House,10000.0,2012-11-29,2012,Theft,Theft,Desktop Computer,No,Archived,4
Robbins Eye Center PC,CT,Healthcare Provider,1749.0,2012-11-28,2012,Theft,Theft,Desktop Computer,No,Archived,4
"James M. McGee, D.M.D., P.C.",GA,Healthcare Provider,1306.0,2012-11-27,2012,Theft,Theft,Paper/Films,No,Archived,4
"Advantage Health Solutions, Inc.",IN,Business Associate,2575.0,2012-11-26,2012,Other,Other,Other,Yes,Archived,3
Brigham and Women's Hospital,MA,Healthcare Provider,615.0,2012-11-26,2012,Theft,Theft,Desktop Computer,No,Archived,4
Digital Archive Management,TX,Business Associate,501.0,2012-11-21,2012,"Improper Disposal, Theft",Improper Disposal,"Network Server, Paper/Films",Yes,Archived,3
"Original Medicine Acupuncture & Wellness, LLC",NM,Healthcare Provider,540.0,2012-11-21,2012,Theft,Theft,Laptop,No,Archived,4
"Soundental Associates, PC",CT,Healthcare Provider,14511.0,2012-11-21,2012,Theft,Theft,Other Portable Electronic Device,No,Archived,4
"Original Medicine Acupuncture & Wellness, LLC",NM,Healthcare Provider,540.0,2012-11-21,2012,Theft,Theft,Laptop,No,Archived,4
"Hawaii State Department of Health, Adult Mental Health Division",HI,Healthcare Provider,674.0,2012-11-20,2012,Hacking/IT Incident,Hacking/IT Incident,Desktop Computer,No,Archived,0
L.A. Care Health Plan,CA,Health Plan,18000.0,2012-11-17,2012,Other,Other,Other,No,Archived,2
CHRISTUS St. John Hospital,TX,Healthcare Provider,5748.0,2012-11-16,2012,Loss,Loss,Other Portable Electronic Device,No,Archived,1
Maryville Academy,IL,Healthcare Provider,3897.0,2012-11-08,2012,Loss,Loss,Other Portable Electronic Device,No,Archived,1
Memorial Health System,CO,Healthcare Provider,6262.0,2012-11-07,2012,Loss,Loss,Paper/Films,No,Archived,1
Women and Infant's Hospital,RI,Healthcare Provider,14004.0,2012-11-05,2012,Loss,Loss,Other Portable Electronic Device,No,Archived,1
"WYATT DENTAL GROUP, LLC",LA,Healthcare Provider,10271.0,2012-11-05,2012,"Theft, Unauthorized Access/Disclosure",Theft,Electronic Medical Record,No,Archived,4
Miami Beach Healthcare Group Ltd. dba Aventura Hospital and Medical Center,FL,Healthcare Provider,2560.0,2012-11-05,2012,Theft,Theft,Electronic Medical Record,No,Archived,4
Indiana University,IN,Health Plan,3266.0,2012-11-05,2012,Theft,Theft,Laptop,No,Archived,2
Union County Board of Developmental Disabilities,OH,Health Plan,1420.0,2012-11-05,2012,Theft,Theft,Laptop,No,Archived,2
Henry Ford Health System,MI,Healthcare Provider,2777.0,2012-11-05,2012,Loss,Loss,"Other, Other Portable Electronic Device",No,Archived,1
"University of Illinois, College of Nursing",IL,Business Associate,508.0,2012-11-02,2012,Theft,Theft,Paper/Films,Yes,Archived,3
QUANTERION SOLUTIONS INC,NY,Business Associate,1017.0,2012-11-01,2012,Theft,Theft,Network Server,Yes,Archived,3
"Waipahu Aloha Clubhouse, Privacy Manager Breach",HI,Healthcare Provider,674.0,2012-10-31,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Desktop Computer,No,Archived,1
Memorial Hospital,OH,Healthcare Provider,500.0,2012-10-29,2012,Improper Disposal,Improper Disposal,Paper/Films,No,Archived,1
CVS Caremark,RI,Healthcare Provider,955.0,2012-10-26,2012,Theft,Theft,Paper/Films,No,Archived,4
SwedishAmerican Health System,IL,Healthcare Provider,1500.0,2012-10-26,2012,Theft,Theft,Paper/Films,No,Archived,4
Health Care Service Corporation,IL,Health Plan,501.0,2012-10-26,2012,Theft,Theft,Paper/Films,No,Archived,2
"Logan Community Resources, Inc.",IN,Healthcare Provider,2900.0,2012-10-23,2012,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"First Step Counseling, Inc.",NJ,Healthcare Provider,638.0,2012-10-23,2012,Theft,Theft,Paper/Films,No,Archived,4
L.A. Care Health Plan,CA,Health Plan,18000.0,2012-10-22,2012,Other,Other,Paper/Films,No,Archived,2
"Philip P Corneliuson, DDS, INC.",CA,Healthcare Provider,980.0,2012-10-22,2012,Theft,Theft,Desktop Computer,No,Archived,4
"Coastal home Respiratory, LLP",GA,Healthcare Provider,3440.0,2012-10-18,2012,Theft,Theft,Other,No,Archived,4
"Alere Home Monitoring, Inc",CA,Healthcare Provider,116506.0,2012-10-18,2012,Theft,Theft,Laptop,No,Archived,4
"Blount Memorial Hospital, Inc",TN,Healthcare Provider,27799.0,2012-10-17,2012,Theft,Theft,Laptop,No,Archived,4
Gulf Coast Health Care Services Inc,FL,Healthcare Provider,13000.0,2012-10-15,2012,"Hacking/IT Incident, Theft, Unauthorized Access/Disclosure",Hacking/IT Incident,Network Server,No,Archived,0
"Alexander J. Tikhtman, M.D.",KY,Healthcare Provider,2376.0,2012-10-12,2012,Theft,Theft,Other Portable Electronic Device,No,Archived,4
"Apria Healthcare, Inc.",CA,Healthcare Provider,65700.0,2012-10-10,2012,Theft,Theft,Laptop,No,Archived,4
"PST Services, Inc",GA,Business Associate,13074.0,2012-10-08,2012,Improper Disposal,Improper Disposal,Paper/Films,Yes,Archived,3
"Cabinet for Health and Family Services, Department for Community Based Services",KY,Healthcare Provider,2500.0,2012-09-19,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
"St. Therese Medical Group, Inc",CA,Healthcare Provider,3031.0,2012-09-17,2012,Theft,Theft,Desktop Computer,No,Archived,4
Cox Health,MO,Healthcare Provider,2435.0,2012-09-17,2012,Theft,Theft,Laptop,No,Archived,4
The Feinstein Institute for Medical Reserch,NY,Healthcare Provider,13000.0,2012-09-14,2012,Theft,Theft,Laptop,No,Archived,4
"BHcare, Inc",CT,Healthcare Provider,5827.0,2012-09-14,2012,Theft,Theft,"Laptop, Other Portable Electronic Device",No,Archived,4
"Ecco Health, LLC",NV,Business Associate,5713.0,2012-09-14,2012,Loss,Loss,Other Portable Electronic Device,Yes,Archived,3
"Valley Plastic Surgery, P.C.",VA,Healthcare Provider,4873.0,2012-09-13,2012,Theft,Theft,Other Portable Electronic Device,No,Archived,4
University of New Mexico Health Sciences Center,NM,Healthcare Provider,2365.0,2012-09-12,2012,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
University of Miami,FL,Healthcare Provider,64846.0,2012-09-07,2012,"Other, Unauthorized Access/Disclosure",Other,Paper/Films,No,Archived,1
"Charlotte Clark-Neitzel, MD",WA,Healthcare Provider,942.0,2012-09-07,2012,Theft,Theft,Laptop,No,Archived,4
Sierra Plastic Surgery,NV,Healthcare Provider,800.0,2012-09-05,2012,"Hacking/IT Incident, Unauthorized Access/Disclosure",Hacking/IT Incident,Network Server,No,Archived,0
Tricounty Behavioral Health Clinic,GA,Healthcare Provider,4000.0,2012-08-31,2012,Theft,Theft,Laptop,No,Archived,4
"Cancer Care Group, P.C.",IN,Healthcare Provider,55000.0,2012-08-28,2012,Theft,Theft,Other Portable Electronic Device,No,Archived,4
LANA MEDICAL CARE,FL,Healthcare Provider,500.0,2012-08-28,2012,Theft,Theft,Laptop,No,Archived,4
Central States Southeast and Siouthwest Areas Health & Welfare Fund,IL,Health Plan,754.0,2012-08-21,2012,"Other, Unauthorized Access/Disclosure",Other,Paper/Films,No,Archived,2
The University of Texas MD Anderson Cancer Center,TX,Healthcare Provider,2264.0,2012-08-17,2012,Loss,Loss,Other Portable Electronic Device,No,Archived,1
"Liberty Resources, Inc.",PA,Healthcare Provider,3183.0,2012-08-17,2012,Theft,Theft,Laptop,No,Archived,4
Memorial Healthcare System,FL,Healthcare Provider,105646.0,2012-08-16,2012,Theft,Theft,Electronic Medical Record,No,Archived,4
"Apria Healthcare, Inc., Privacy Manager Breach",CA,Healthcare Provider,11000.0,2012-08-15,2012,Theft,Theft,Laptop,No,Archived,4
"Heartland Pathology Associates, P.A.",FL,Healthcare Provider,1175.0,2012-08-15,2012,Theft,Theft,Other Portable Electronic Device,No,Archived,4
TEMPLE COMMUNITY HOSPITAL,CA,Healthcare Provider,603.0,2012-08-15,2012,Theft,Theft,Desktop Computer,No,Archived,4
"Siemens Medical Solutions, USA",PA,Business Associate,66601.0,2012-08-10,2012,Theft,Theft,Laptop,Yes,Archived,3
Harris County Hospital District,TX,Healthcare Provider,2875.0,2012-08-03,2012,Theft,Theft,"Electronic Medical Record, Paper/Films",No,Archived,4
"Stanford Hospital & Clinics and School of Medicine, Privacy Manager Breach",CA,Healthcare Provider,2300.0,2012-08-03,2012,Theft,Theft,Desktop Computer,No,Archived,4
Oregon Health & Science University,OR,Healthcare Provider,702.0,2012-07-31,2012,Theft,Theft,Other,No,Archived,4
VNA Health Care Hartford Hospital,CT,Healthcare Provider,7461.0,2012-07-31,2012,Theft,Theft,Laptop,No,Archived,4
EMC,CT,Business Associate,7461.0,2012-07-30,2012,Theft,Theft,Laptop,Yes,Archived,3
Walgreen Co.,IL,Healthcare Provider,1240.0,2012-07-30,2012,Theft,Theft,Paper/Films,No,Archived,4
Northwestern Memorial Hospital,IL,Healthcare Provider,4211.0,2012-07-27,2012,Theft,Theft,"Laptop, Other Portable Electronic Device",No,Archived,4
Jeffrey Paul Edelstein M.D.,AZ,Healthcare Provider,4800.0,2012-07-27,2012,Theft,Theft,Network Server,No,Archived,4
Kindred Healthcare Inc d/b/a Kindred Transitional Care and Rehabilitation-Sellersburg,IN,Healthcare Provider,1504.0,2012-07-25,2012,Theft,Theft,Other,No,Archived,4
"The Surgeons of Lake County, LLC",IL,Healthcare Provider,7067.0,2012-07-25,2012,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
NYU School of Medicine Faculty Group Practice,NY,Healthcare Provider,8488.0,2012-07-23,2012,Theft,Theft,Desktop Computer,No,Archived,4
Beth Israel Deaconess Medical Center,MA,Healthcare Provider,3900.0,2012-07-20,2012,Theft,Theft,Laptop,No,Archived,4
Pamlico Medical Equipment LLC,NC,Healthcare Provider,2917.0,2012-07-17,2012,Loss,Loss,Other Portable Electronic Device,No,Archived,1
Molalla Family Dental,OR,Healthcare Provider,4354.0,2012-07-16,2012,"Hacking/IT Incident, Other, Unauthorized Access/Disclosure",Hacking/IT Incident,Network Server,No,Archived,0
"Hamner Square Dental, Privacy Manager Breach",CA,Healthcare Provider,1112.0,2012-07-16,2012,"Loss, Theft, Unauthorized Access/Disclosure, Unknown",Loss,Other Portable Electronic Device,No,Archived,1
Visiting Nurse Services of Iowa,IA,Healthcare Provider,1298.0,2012-07-16,2012,Theft,Theft,Paper/Films,No,Archived,4
"Patterson Dental, Inc.",MN,Business Associate,2533.0,2012-07-13,2012,"Loss, Unauthorized Access/Disclosure, Unknown",Loss,Other Portable Electronic Device,Yes,Archived,3
SwedishAmerican Health System,IL,Healthcare Provider,1500.0,2012-07-12,2012,Theft,Theft,Paper/Films,No,Archived,4
Health Texas Provider Network - Cardiovascular Consultants of North Texas,TX,Healthcare Provider,2462.0,2012-07-05,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Archived,1
"Sharon L. Rogers, Ph.D., ABPP",TX,Healthcare Provider,585.0,2012-07-03,2012,Theft,Theft,Laptop,No,Archived,4
"Bruce G. Peller, DMD, PA",NC,Healthcare Provider,9953.0,2012-06-25,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Desktop Computer,No,Archived,1
Karen Kietzman,MT,Healthcare Provider,708.0,2012-06-22,2012,Theft,Theft,"Laptop, Other Portable Electronic Device",No,Archived,4
Wolf & Yun,KY,Healthcare Provider,824.0,2012-06-22,2012,Theft,Theft,Laptop,No,Archived,4
University of Kentucky HealthCare,KY,Healthcare Provider,4490.0,2012-06-19,2012,Theft,Theft,Laptop,No,Archived,4
"Gessler Clinic, P.A.",FL,Healthcare Provider,1409.0,2012-06-14,2012,Theft,Theft,Paper/Films,No,Archived,4
Memorial Sloan-Kettering Cancer Center,NY,Healthcare Provider,568.0,2012-06-08,2012,Theft,Theft,"Email, Other",No,Archived,4
"Robert Witham, MD, FACP",OR,Healthcare Provider,11136.0,2012-06-06,2012,Theft,Theft,Desktop Computer,No,Archived,4
"Metcare of Florida, Inc.",FL,Healthcare Provider,2557.0,2012-06-04,2012,Theft,Theft,Other Portable Electronic Device,No,Archived,4
PrevMED,MD,Business Associate,1444.0,2012-06-04,2012,Theft,Theft,Laptop,Yes,Archived,3
Charlie Norwood VA Medical Center,GA,Healthcare Provider,824.0,2012-06-04,2012,Loss,Loss,Other Portable Electronic Device,No,Archived,1
"Volunteer State Health Plan, Inc.",TN,Health Plan,1102.0,2012-05-31,2012,Loss,Loss,Paper/Films,No,Archived,2
Lutheran Community Services Northwest,WA,Healthcare Provider,756.0,2012-05-29,2012,Theft,Theft,"Desktop Computer, Other Portable Electronic Device",No,Archived,4
Titus Regional Medical Center,TX,Healthcare Provider,500.0,2012-05-26,2012,Theft,Theft,Other,No,Archived,4
Titus Regional Medical Center,TX,Healthcare Provider,5700.0,2012-05-26,2012,Loss,Loss,Laptop,No,Archived,1
Independence Physical Therapy,CT,Healthcare Provider,925.0,2012-05-25,2012,Theft,Theft,Desktop Computer,No,Archived,4
"Phoebe Putney Memorial Hospital, Inc.",GA,Healthcare Provider,12937.0,2012-05-24,2012,Theft,Theft,"Electronic Medical Record, Paper/Films",No,Archived,4
Physician's Automated Laboratory,CA,Healthcare Provider,745.0,2012-05-23,2012,Theft,Theft,Paper/Films,No,Archived,4
"Data Image, Inc.",OH,Business Associate,15000.0,2012-05-22,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,Yes,Archived,3
Children's Hospital Boston,MA,Healthcare Provider,2159.0,2012-05-22,2012,Theft,Theft,Laptop,No,Archived,4
Ameritas Life Insurance Corp.,NE,Health Plan,3000.0,2012-05-21,2012,Theft,Theft,Laptop,No,Archived,2
"Luz Colon, DPM  Podiatry",FL,Healthcare Provider,1137.0,2012-05-19,2012,"Loss, Theft",Loss,Laptop,No,Archived,1
Duke University Health System,NC,Healthcare Provider,591.0,2012-05-18,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,No,Archived,1
West Dermatology,CA,Healthcare Provider,1900.0,2012-05-18,2012,Theft,Theft,Other,No,Archived,4
UnitedHealth Group health plan single affiliated covered entity,MN,Health Plan,19100.0,2012-05-18,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,No,Archived,2
Our Lady of the Lake Regional Medical Center,LA,Healthcare Provider,17000.0,2012-05-18,2012,"Loss, Theft",Loss,Laptop,No,Archived,1
St. Mary Medical Center,CA,Healthcare Provider,3900.0,2012-05-14,2012,Loss,Loss,Other Portable Electronic Device,No,Archived,1
Family Health Services Minnesota PA,MN,Healthcare Provider,4000.0,2012-05-14,2012,Theft,Theft,Laptop,No,Archived,4
Hogan Services Inc. Health Care Premium Plan,MO,Health Plan,1134.0,2012-05-11,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,2
Iowa Department of Human Services,IA,Health Plan,3000.0,2012-05-11,2012,Improper Disposal,Improper Disposal,Paper/Films,No,Archived,2
Rite Aid Store 1343,WV,Healthcare Provider,2905.0,2012-05-10,2012,Theft,Theft,Paper/Films,No,Archived,4
University of Houston for UH College of Optometry,TX,Healthcare Provider,7000.0,2012-05-08,2012,"Hacking/IT Incident, Unauthorized Access/Disclosure",Hacking/IT Incident,Network Server,No,Archived,0
Baptist Health System,AL,Healthcare Provider,1655.0,2012-05-04,2012,Improper Disposal,Improper Disposal,Paper/Films,No,Archived,1
"Stephen Haggard, DPM Podiatry",WA,Healthcare Provider,1597.0,2012-05-04,2012,Theft,Theft,Network Server,No,Archived,4
"Oakland Vision Services, PC",MI,Healthcare Provider,3000.0,2012-05-03,2012,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
IntraCare North Hospital,TX,Healthcare Provider,750.0,2012-05-03,2012,Theft,Theft,Paper/Films,No,Archived,4
"Safe Ride Services, Inc",AZ,Healthcare Provider,42000.0,2012-05-01,2012,"Hacking/IT Incident, Unauthorized Access/Disclosure",Hacking/IT Incident,Network Server,No,Archived,0
Thomas Jefferson University Hospitals,PA,Healthcare Provider,590.0,2012-04-30,2012,Theft,Theft,Paper/Films,No,Archived,4
SHIELDS For Families,CA,Healthcare Provider,961.0,2012-04-26,2012,Theft,Theft,Network Server,No,Archived,4
Oregon Health Authority,OR,Healthcare Provider,550.0,2012-04-26,2012,Theft,Theft,Paper/Films,No,Archived,4
South Carolina Department of Health and Human Services,SC,Health Plan,228435.0,2012-04-24,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,2
"TLC Dental Dania, LLC",FL,Healthcare Provider,750.0,2012-04-23,2012,Theft,Theft,Paper/Films,No,Archived,4
University of Arkansas for Medical Sciences,AR,Healthcare Provider,7121.0,2012-04-20,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,No,Archived,1
Desert AIDS Project,CA,Healthcare Provider,4400.0,2012-04-20,2012,Theft,Theft,Desktop Computer,No,Archived,4
Emory Healthcare,GA,Healthcare Provider,315000.0,2012-04-18,2012,"Other, Unknown",Other,Other,No,Archived,1
"DRD Management, Inc. D/B/A DRD Knoxville Medical Clinic - Central",TX,Healthcare Provider,1000.0,2012-04-16,2012,Improper Disposal,Improper Disposal,Paper/Films,No,Archived,1
"Roy E. Gondo, M.D.",WA,Healthcare Provider,2100.0,2012-04-13,2012,Theft,Theft,"Desktop Computer, Electronic Medical Record",No,Archived,4
Memorial Healthcare System,FL,Health Plan,9497.0,2012-04-13,2012,Other,Other,Other,No,Archived,2
Rhinebeck Health Center/Center for Progressive Medicine,NY,Healthcare Provider,6745.0,2012-04-12,2012,Theft,Theft,"Desktop Computer, Network Server",No,Archived,4
IU Medical Group,IN,Healthcare Provider,1000.0,2012-04-12,2012,Improper Disposal,Improper Disposal,Paper/Films,No,Archived,1
Utah Department of Technology Services,UT,Business Associate,780000.0,2012-04-11,2012,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
David Charles Rish,CA,Business Associate,2000.0,2012-04-10,2012,Theft,Theft,Other,Yes,Archived,3
HealthLOGIX,MI,Business Associate,555.0,2012-04-10,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,3
Affinity Health Plan,NY,Health Plan,933.0,2012-04-10,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,2
"AccentCare Home Health of California, Inc. Medicare # 057564    CA state License # 080000226",CA,Healthcare Provider,1000.0,2012-04-10,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
The Neighborhood Christian Clinic,AZ,Healthcare Provider,9565.0,2012-04-09,2012,Loss,Loss,Other Portable Electronic Device,No,Archived,1
St. Elizabeth's Medical Center,MA,Healthcare Provider,6831.0,2012-04-06,2012,Loss,Loss,Paper/Films,No,Archived,1
County of Wayne Department of Personnel/Human Resources Benefits Administration Division,MI,Health Plan,1229.0,2012-04-06,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,2
Lake Granbury Medicl Ceter,TX,Healthcare Provider,502.0,2012-04-04,2012,Theft,Theft,Paper/Films,No,Archived,4
CenterLight Healthcare,NY,Health Plan,642.0,2012-04-03,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,2
St. Joseph's Medical Center,CA,Healthcare Provider,712.0,2012-03-29,2012,Theft,Theft,Paper/Films,No,Archived,4
Duke University Health System,NC,Healthcare Provider,1370.0,2012-03-23,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,No,Archived,1
"Caremark PCS Health, L.L.C. (formerly known as Caremark PCS Health, L.P.)",IL,Business Associate,3482.0,2012-03-23,2012,Other,Other,Paper/Films,Yes,Archived,3
Chicago Muscoskeletal Institute,IL,Healthcare Provider,750.0,2012-03-23,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,No,Archived,1
"Baylor Heart and Vascular Center, LLP",TX,Healthcare Provider,1972.0,2012-03-16,2012,Theft,Theft,Other Portable Electronic Device,No,Archived,4
Georgia Health Sciences University,GA,Healthcare Provider,513.0,2012-03-15,2012,Theft,Theft,Laptop,No,Archived,4
"T&P Consulting, INC DBA Quantum HC",PR,Business Associate,7606.0,2012-03-15,2012,Theft,Theft,"Laptop, Other Portable Electronic Device",Yes,Archived,3
Advanced Clinical Research Institute,CA,Health Plan,875.0,2012-03-14,2012,Theft,Theft,Paper/Films,No,Archived,2
Quantum Health Consulting,PR,Business Associate,7923.0,2012-03-13,2012,Theft,Theft,Laptop,Yes,Archived,3
"William F. DeLuca Jr., M.D.",NY,Healthcare Provider,577.0,2012-03-13,2012,Theft,Theft,Laptop,No,Archived,4
Kern Medical Center,CA,Healthcare Provider,1431.0,2012-03-12,2012,Theft,Theft,Paper/Films,No,Archived,4
"T&P Consulting, INC. d/b/a Quantum Health Consulting",PR,Business Associate,27098.0,2012-03-12,2012,Theft,Theft,Laptop,Yes,Archived,3
Quantum Health Consulting,PR,Business Associate,4645.0,2012-03-12,2012,Theft,Theft,Laptop,Yes,Archived,3
"T & P Consulting, Inc. d/b/a Quantum Health Consulting",PR,Business Associate,10000.0,2012-03-12,2012,Theft,Theft,"Laptop, Other Portable Electronic Device",Yes,Archived,3
Indiana Internal Medicine Consultants,IN,Healthcare Provider,20000.0,2012-03-09,2012,Theft,Theft,Laptop,No,Archived,4
Robley Rex VA Medical Center,KY,Healthcare Provider,1182.0,2012-03-06,2012,Other,Other,Paper/Films,No,Archived,1
Anchorage Community Mental Health Services Inc.,AK,Healthcare Provider,2743.0,2012-03-03,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Desktop Computer,No,Archived,1
"Jeremaih J. Twomey, F.A.C.P., P.A.",TX,Business Associate,2559.0,2012-03-02,2012,Theft,Theft,Other,Yes,Archived,3
Lee Miller Rehabilitation Associates,MD,Healthcare Provider,10480.0,2012-02-29,2012,Theft,Theft,Network Server,No,Archived,4
"T&P CONSULTING, INC. D/B/A QUANTUM",PR,Business Associate,7706.0,2012-02-28,2012,Theft,Theft,Laptop,Yes,Archived,3
"Catalyst Health Solutions, Inc.",MD,Business Associate,632.0,2012-02-28,2012,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,Yes,Archived,3
"Beth Barrett Consulting, LLC",NM,Business Associate,7000.0,2012-02-28,2012,Theft,Theft,Laptop,Yes,Archived,3
"CardioNet, Inc.",PA,Healthcare Provider,728.0,2012-02-27,2012,Theft,Theft,Laptop,No,Archived,4
Dr. Trandinh,OR,Business Associate,2300.0,2012-02-20,2012,"Theft, Unauthorized Access/Disclosure",Theft,Laptop,Yes,Archived,3
